"","X","republican","democrat","place_lat","place_lon"
"150",2354,1,0,34.9386845,-82.239422
"151",2356,1,0,34.9386845,-82.239422
"152",2369,1,0,44.90082,-89.5694915
"153",2378,1,0,29.4175,-98.5406515
"154",2394,0,1,42.746617,-75.770041
"155",2422,1,0,42.74672,-84.4816265
"156",2476,1,0,32.223647,-95.227378
"157",2477,0,1,31.16889,-100.0768885
"158",2478,1,0,31.16889,-100.0768885
"159",2491,1,0,34.022688,-118.48042
"160",2514,1,0,30.4591,-91.0907995
"161",2515,1,1,30.5844255,-91.1636195
"162",2518,0,1,30.5844255,-91.1636195
"163",2580,1,1,40.16593,-105.1122165
"164",2595,1,0,33.63114,-80.926628
"165",2604,1,0,34.0648205,-118.081943
"166",2610,0,1,18.45349,-66.1768125
"167",2658,1,1,32.4405105,-81.8005785
"168",2663,1,0,32.67821,-83.1738665
"169",2668,0,1,38.30456,-92.4367735
"170",2672,1,0,30.51297,-90.8653385
"171",2675,0,1,29.4175,-98.5406515
"172",2676,1,0,42.74662,-75.770041
"173",2692,0,1,25.94445,-80.207263
"174",2693,0,1,25.94445,-80.207263
"175",2694,1,0,25.9402815,-80.3226305
"176",2695,0,1,25.94445,-80.207263
"177",2697,0,1,25.94445,-80.207263
"178",2698,0,1,25.9444465,-80.207263
"179",2700,0,1,25.94445,-80.207263
"180",2709,1,0,25.94445,-80.207263
"181",2710,0,1,25.94445,-80.207263
"182",2712,0,1,25.9444465,-80.207263
"183",2714,0,1,25.94445,-80.207263
"184",2716,1,0,32.23099,-90.1580165
"185",2717,1,1,30.47138,-87.252232
"186",2719,1,0,32.67821,-83.1738665
"187",2748,1,0,40.718,-74.066663
"188",2767,1,0,37.2691755,-119.3066075
"189",2773,1,0,26.247548,-98.561526
"190",2789,1,0,42.49285,-83.0269885
"191",2795,1,0,39.20993,-96.5745935
"192",2803,0,1,42.17029,-83.1860565
"193",2804,0,1,42.17029,-83.1860565
"194",2847,0,1,32.41505,-99.750556
"195",2895,1,0,35.20906,-80.8467855
"196",2925,0,1,38.30456,-92.4367735
"197",2926,0,1,38.30456,-92.4367735
"198",3037,0,1,32.82036,-97.2650435
"199",3042,0,1,32.82036,-97.2650435
"200",3102,1,0,36.20001,-86.791549
"201",3119,1,0,42.9108905,-78.7084675
"202",3125,1,0,42.03251,-93.6393635
"203",3161,1,0,40.1031305,-75.1496575
"204",3170,0,1,41.7318245,-73.9157745
"205",3173,1,0,31.16889,-100.0768885
"206",3175,1,0,35.1705,-79.861034
"207",3180,0,1,35.1704985,-79.861034
"208",3182,0,1,38.898603,-77.0143985
"209",3187,1,0,33.55286,-112.1246765
"210",3210,0,1,39.305508,-76.7538045
"211",3247,1,0,29.52595,-81.219179
"212",3251,1,0,30.40495,-88.7755885
"213",3258,1,0,40.20801,-76.7844365
"214",3259,1,0,40.208014,-76.7844365
"215",3261,1,0,36.232915,-115.223125
"216",3278,1,0,28.5016785,-81.3677725
"217",3280,1,0,29.497157,-95.087029
"218",3281,1,0,29.497157,-95.087029
"219",3292,1,0,38.30456,-92.4367735
"220",3302,1,0,38.30456,-92.4367735
"221",3332,0,1,29.96822,-93.9505725
"222",3347,0,1,38.8986,-77.0143985
"223",3350,0,1,38.898603,-77.0143985
"224",3363,1,0,34.75435,-79.484741
"225",3394,1,0,33.84286,-117.851089
"226",3396,0,1,33.1966005,-87.5334065
"227",3429,0,1,39.77956,-86.1429225
"228",3436,0,1,39.77956,-86.1429225
"229",3442,0,1,39.77956,-86.1429225
"230",3457,1,0,35.117,-106.632718
"231",3468,1,0,44.90082,-89.5694915
"232",3516,1,0,38.41043,-121.4393835
"233",3584,1,0,35.84742,-86.40961
"234",3658,1,0,37.8164535,-121.2380875
"235",3660,1,0,40.00487,-75.117998
"236",3678,1,0,25.63685,-80.3668805
"237",3692,1,0,41.3870895,-83.645809
"238",3698,1,0,35.09195,-85.242564
"239",3700,1,0,35.954332,-86.541606
"240",3708,1,0,32.57103,-89.876449
"241",3731,1,0,39.02362,-76.4921805
"242",3740,1,0,32.67821,-83.1738665
"243",3746,0,1,44.90082,-89.5694915
"244",3778,0,1,36.5509835,-87.3221685
"245",3789,1,0,31.33249,-94.7325985
"246",3820,1,1,41.086917,-85.1700515
"247",3824,0,1,35.1705,-79.861034
"248",3825,0,1,35.1705,-79.861034
"249",3826,0,1,35.1705,-79.861034
"250",3827,0,1,35.1705,-79.861034
"251",3873,1,0,32.5316,-94.3484515
"252",3881,1,0,28.5016785,-81.3677725
"253",3898,0,1,39.45764,-87.382054
"254",3941,0,1,36.5963,-121.879033
"255",3950,1,0,47.58705,-122.6295865
"256",3965,1,0,25.86897,-80.2174305
"257",3987,0,1,39.77956,-86.1429225
"258",3992,0,1,39.58304,-86.1453205
"259",3997,0,1,39.77956,-86.1429225
"260",4010,1,0,35.1704985,-79.861034
"261",4043,0,1,39.13704,-84.5398125
"262",4052,1,0,37.96494,-122.281278
"263",4065,1,0,30.206079,-92.0611765
"264",4075,1,0,42.3136695,-71.0887125
"265",4083,0,1,39.713563,-104.9220935
"266",4092,1,0,35.19148,-78.97082
"267",4108,1,0,36.6122875,-119.539514
"268",4110,0,1,32.67821,-83.1738665
"269",4113,1,0,41.95586,-71.4167745
"270",4127,1,0,32.67821,-83.1738665
"271",4131,1,0,31.7728,-82.3421445
"272",4133,1,0,31.7727975,-82.3421445
"273",4135,0,1,31.7728,-82.3421445
"274",4153,0,1,36.1093915,-95.913642
"275",4220,1,0,30.7060885,-95.5472695
"276",4222,1,0,30.70609,-95.5472695
"277",4228,0,1,29.838495,-95.4464865
"278",4229,0,1,29.838495,-95.4464865
"279",4251,0,1,41.80678,-87.7802335
"280",4255,1,0,39.1701115,-77.26434
"281",4258,0,1,45.48489,-122.805579
"282",4276,0,1,39.7882845,-86.2503435
