"","count","X","name","unicode","bytes","emojiid","rencoding","dens","dens_sm"
"44",909,724,"neutral face","U+1F610","\xF0\x9F\x98\x90",724,"<ed><a0><bd><ed><b8><90>",0.5,0.000500970010063442
"45",876,210,"white smiling face","U+263A","\xE2\x98\xBA",210,"<e2><98><ba>",0.5,0.00048280296574246
"46",873,232,"high voltage sign","U+26A1","\xE2\x9A\xA1",232,"<e2><9a><a1>",0.5,0.000481151416258734
"47",819,106,"police cars revolving light","U+1F6A8","\xF0\x9F\x9A\xA8",106,"<ed><a0><bd><ed><ba><a8>",0.5,0.000451423525551673
"48",792,12,"smirking face","U+1F60F","\xF0\x9F\x98\x8F",12,"<ed><a0><bd><ed><b8><8f>",0.4,0.000436559580198142
"49",789,17,"face throwing a kiss","U+1F618","\xF0\x9F\x98\x98",17,"<ed><a0><bd><ed><b8><98>",0.4,0.000434908030714416
"50",777,282,"glowing star","U+1F31F","\xF0\x9F\x8C\x9F",282,"<ed><a0><bc><ed><bc><9f>",0.4,0.000428301832779514
"51",773,726,"confused face","U+1F615","\xF0\x9F\x98\x95",726,"<ed><a0><bd><ed><b8><95>",0.4,0.000426099766801213
"52",757,20,"face with stuck-out tongue and tightly-closed eyes","U+1F61D","\xF0\x9F\x98\x9D",20,"<ed><a0><bd><ed><b8><9d>",0.4,0.00041729150288801
"53",740,54,"happy person raising one hand","U+1F64B","\xF0\x9F\x99\x8B",54,"<ed><a0><bd><ed><b9><8b>",0.4,0.000407932722480231
"54",708,24,"crying face","U+1F622","\xF0\x9F\x98\xA2",24,"<ed><a0><bd><ed><b8><a2>",0.4,0.000390316194653824
"55",667,736,"sleeping face","U+1F634","\xF0\x9F\x98\xB4",736,"<ed><a0><bd><ed><b8><b4>",0.4,0.000367745018376241
"56",643,686,"pistol","U+1F52B","\xF0\x9F\x94\xAB",686,"<ed><a0><bd><ed><b4><ab>",0.4,0.000354532622506436
"57",628,3,"smiling face with open mouth","U+1F603","\xF0\x9F\x98\x83",3,"<ed><a0><bd><ed><b8><83>",0.3,0.000346274875087807
"58",599,557,"two hearts","U+1F495","\xF0\x9F\x92\x95",557,"<ed><a0><bd><ed><b2><95>",0.3,0.000330309896745126
"59",599,583,"money bag","U+1F4B0","\xF0\x9F\x92\xB0",583,"<ed><a0><bd><ed><b2><b0>",0.3,0.000330309896745126
"60",598,558,"sparkling heart","U+1F496","\xF0\x9F\x92\x96",558,"<ed><a0><bd><ed><b2><96>",0.3,0.000329759380250551
"61",591,722,"smiling face with horns","U+1F608","\xF0\x9F\x98\x88",722,"<ed><a0><bd><ed><b8><88>",0.3,0.000325905764788525
"62",588,564,"purple heart","U+1F49C","\xF0\x9F\x92\x9C",564,"<ed><a0><bd><ed><b2><9c>",0.3,0.000324254215304799
"63",565,38,"face with medical mask","U+1F637","\xF0\x9F\x98\xB7",38,"<ed><a0><bd><ed><b8><b7>",0.3,0.000311592335929569
"64",561,15,"pensive face","U+1F614","\xF0\x9F\x98\x94",15,"<ed><a0><bd><ed><b8><94>",0.3,0.000309390269951268
"65",547,758,"put litter in its place symbol","U+1F6AE","\xF0\x9F\x9A\xAE",758,"<ed><a0><bd><ed><ba><ae>",0.3,0.000301683039027215
"66",537,60,"white heavy check mark","U+2705","\xE2\x9C\x85",60,"<e2><9c><85>",0.3,0.000296177874081463
"67",528,51,"see-no-evil monkey","U+1F648","\xF0\x9F\x99\x88",51,"<ed><a0><bd><ed><b9><88>",0.3,0.000291223225630286
"68",517,733,"grimacing face","U+1F62C","\xF0\x9F\x98\xAC",733,"<ed><a0><bd><ed><b8><ac>",0.3,0.000285167544189959
"69",506,88,"railway car","U+1F683","\xF0\x9F\x9A\x83",88,"<ed><a0><bd><ed><ba><83>",0.3,0.000279111862749632
"70",504,40,"cat face with tears of joy","U+1F639","\xF0\x9F\x98\xB9",40,"<ed><a0><bd><ed><b8><b9>",0.3,0.000278010829760481
"71",487,21,"disappointed face","U+1F61E","\xF0\x9F\x98\x9E",21,"<ed><a0><bd><ed><b8><9e>",0.3,0.000268652049352703
"72",472,208,"hot beverage","U+2615","\xE2\x98\x95",208,"<e2><98><95>",0.3,0.000260394301934075
"73",470,26,"face with look of triumph","U+1F624","\xF0\x9F\x98\xA4",26,"<ed><a0><bd><ed><b8><a4>",0.3,0.000259293268944924
"74",465,432,"snake","U+1F40D","\xF0\x9F\x90\x8D",432,"<ed><a0><bd><ed><b0><8d>",0.3,0.000256540686472048
"75",457,16,"confounded face","U+1F616","\xF0\x9F\x98\x96",16,"<ed><a0><bd><ed><b8><96>",0.3,0.000252136554515446
"76",457,573,"collision symbol","U+1F4A5","\xF0\x9F\x92\xA5",573,"<ed><a0><bd><ed><b2><a5>",0.3,0.000252136554515446
"77",450,486,"waving hand sign","U+1F44B","\xF0\x9F\x91\x8B",486,"<ed><a0><bd><ed><b1><8b>",0.2,0.00024828293905342
"78",448,579,"dizzy symbol","U+1F4AB","\xF0\x9F\x92\xAB",579,"<ed><a0><bd><ed><b2><ab>",0.2,0.000247181906064269
"79",439,203,"black sun with rays","U+2600","\xE2\x98\x80",203,"<e2><98><80>",0.2,0.000242227257613093
"80",429,547,"kiss mark","U+1F48B","\xF0\x9F\x92\x8B",547,"<ed><a0><bd><ed><b2><8b>",0.2,0.00023672209266734
"81",428,31,"tired face","U+1F62B","\xF0\x9F\x98\xAB",31,"<ed><a0><bd><ed><b8><ab>",0.2,0.000236171576172765
"82",423,572,"sleeping symbol","U+1F4A4","\xF0\x9F\x92\xA4",572,"<ed><a0><bd><ed><b2><a4>",0.2,0.000233418993699889
"83",412,721,"smiling face with halo","U+1F607","\xF0\x9F\x98\x87",721,"<ed><a0><bd><ed><b8><87>",0.2,0.000227363312259562
"84",407,109,"no entry sign","U+1F6AB","\xF0\x9F\x9A\xAB",109,"<ed><a0><bd><ed><ba><ab>",0.2,0.000224610729786686
"85",386,539,"dancer","U+1F483","\xF0\x9F\x92\x83",539,"<ed><a0><bd><ed><b2><83>",0.2,0.000213049883400606
"86",376,537,"information desk person","U+1F481","\xF0\x9F\x92\x81",537,"<ed><a0><bd><ed><b2><81>",0.2,0.000207544718454854
"87",375,524,"older man","U+1F474","\xF0\x9F\x91\xB4",524,"<ed><a0><bd><ed><b1><b4>",0.2,0.000206994201960279
"88",373,70,"sparkles","U+2728","\xE2\x9C\xA8",70,"<e2><9c><a8>",0.2,0.000205893168971129
"89",371,805,"goat","U+1F410","\xF0\x9F\x90\x90",805,"<ed><a0><bd><ed><b0><90>",0.2,0.000204792135981978
"90",356,559,"growing heart","U+1F497","\xF0\x9F\x92\x97",559,"<ed><a0><bd><ed><b2><97>",0.2,0.00019653438856335
"91",352,469,"frog face","U+1F438","\xF0\x9F\x90\xB8",469,"<ed><a0><bd><ed><b0><b8>",0.2,0.000194332322585049
"92",348,529,"japanese ogre","U+1F479","\xF0\x9F\x91\xB9",529,"<ed><a0><bd><ed><b1><b9>",0.2,0.000192130256606748
"93",341,22,"angry face","U+1F620","\xF0\x9F\x98\xA0",22,"<ed><a0><bd><ed><b8><a0>",0.2,0.000188276641144722
"94",337,438,"elephant","U+1F418","\xF0\x9F\x90\x98",438,"<ed><a0><bd><ed><b0><98>",0.2,0.000186074575166421
"95",335,254,"white medium star","U+2B50","\xE2\xAD\x90",254,"<e2><ad><90>",0.2,0.000184973542177271
"96",316,717,"statue of liberty","U+1F5FD","\xF0\x9F\x97\xBD",717,"<ed><a0><bd><ed><b7><bd>",0.2,0.000174513728780342
"97",309,556,"broken heart","U+1F494","\xF0\x9F\x92\x94",556,"<ed><a0><bd><ed><b2><94>",0.2,0.000170660113318315
"98",302,729,"face with stuck-out tongue","U+1F61B","\xF0\x9F\x98\x9B",729,"<ed><a0><bd><ed><b8><9b>",0.2,0.000166806497856289
"99",296,30,"sleepy face","U+1F62A","\xF0\x9F\x98\xAA",30,"<ed><a0><bd><ed><b8><aa>",0.2,0.000163503398888837
"100",281,397,"multiple musical notes","U+1F3B6","\xF0\x9F\x8E\xB6",397,"<ed><a0><bc><ed><be><b6>",0.2,0.000155245651470209
"101",280,574,"splashing sweat symbol","U+1F4A6","\xF0\x9F\x92\xA6",574,"<ed><a0><bd><ed><b2><a6>",0.2,0.000154695134975634
"102",274,28,"fearful face","U+1F628","\xF0\x9F\x98\xA8",28,"<ed><a0><bd><ed><b8><a8>",0.2,0.000151392036008183
"103",273,10,"relieved face","U+1F60C","\xF0\x9F\x98\x8C",10,"<ed><a0><bd><ed><b8><8c>",0.2,0.000150841519513608
"104",268,732,"anguished face","U+1F627","\xF0\x9F\x98\xA7",732,"<ed><a0><bd><ed><b8><a7>",0.1,0.000148088937040732
"105",256,390,"direct hit","U+1F3AF","\xF0\x9F\x8E\xAF",390,"<ed><a0><bc><ed><be><af>",0.1,0.000141482739105829
"106",248,53,"speak-no-evil monkey","U+1F64A","\xF0\x9F\x99\x8A",53,"<ed><a0><bd><ed><b9><8a>",0.1,0.000137078607149227
"107",245,75,"cross mark","U+274C","\xE2\x9D\x8C",75,"<e2><9d><8c>",0.1,0.000135427057665502
"108",239,85,"black rightwards arrow","U+27A1","\xE2\x9E\xA1",85,"<e2><9e><a1>",0.1,0.000132123958698051
"109",233,77,"black question mark ornament","U+2753","\xE2\x9D\x93",77,"<e2><9d><93>",0.1,0.000128820859730599
"110",233,734,"face with open mouth","U+1F62E","\xF0\x9F\x98\xAE",734,"<ed><a0><bd><ed><b8><ae>",0.1,0.000128820859730599
"111",220,251,"downwards black arrow","U+2B07","\xE2\xAC\x87",251,"<e2><ac><87>",0.1,0.000121664145301122
"112",216,52,"hear-no-evil monkey","U+1F649","\xF0\x9F\x99\x89",52,"<ed><a0><bd><ed><b9><89>",0.1,0.000119462079322821
"113",215,64,"raised hand","U+270B","\xE2\x9C\x8B",64,"<e2><9c><8b>",0.1,0.000118911562828245
"114",214,562,"green heart","U+1F49A","\xF0\x9F\x92\x9A",562,"<ed><a0><bd><ed><b2><9a>",0.1,0.00011836104633367
"115",210,35,"astonished face","U+1F632","\xF0\x9F\x98\xB2",35,"<ed><a0><bd><ed><b8><b2>",0.1,0.000116158980355369
"116",209,48,"face with no good gesture","U+1F645","\xF0\x9F\x99\x85",48,"<ed><a0><bd><ed><b9><85>",0.1,0.000115608463860794
"117",204,225,"black heart suit","U+2665","\xE2\x99\xA5",225,"<e2><99><a5>",0.1,0.000112855881387918
"118",204,363,"balloon","U+1F388","\xF0\x9F\x8E\x88",363,"<ed><a0><bc><ed><be><88>",0.1,0.000112855881387918
"119",203,354,"clinking beer mugs","U+1F37B","\xF0\x9F\x8D\xBB",354,"<ed><a0><bc><ed><bd><bb>",0.1,0.000112305364893343
"120",200,483,"white left pointing backhand index","U+1F448","\xF0\x9F\x91\x88",483,"<ed><a0><bd><ed><b1><88>",0.1,0.000110653815409617
"121",198,47,"weary cat face","U+1F640","\xF0\x9F\x99\x80",47,"<ed><a0><bd><ed><b9><80>",0.1,0.000109552782420467
"122",195,492,"crown","U+1F451","\xF0\x9F\x91\x91",492,"<ed><a0><bd><ed><b1><91>",0.1,0.000107901232936741
"123",194,49,"face with ok gesture","U+1F646","\xF0\x9F\x99\x86",49,"<ed><a0><bd><ed><b9><86>",0.1,0.000107350716442166
"124",192,209,"white up pointing index","U+261D","\xE2\x98\x9D",209,"<e2><98><9d>",0.1,0.000106249683453016
"125",190,541,"nail polish","U+1F485","\xF0\x9F\x92\x85",541,"<ed><a0><bd><ed><b2><85>",0.1,0.000105148650463865
"126",185,37,"dizzy face","U+1F635","\xF0\x9F\x98\xB5",37,"<ed><a0><bd><ed><b8><b5>",0.1,0.000102396067990989
"127",185,563,"yellow heart","U+1F49B","\xF0\x9F\x92\x9B",563,"<ed><a0><bd><ed><b2><9b>",0.1,0.000102396067990989
"128",184,412,"trophy","U+1F3C6","\xF0\x9F\x8F\x86",412,"<ed><a0><bc><ed><bf><86>",0.1,0.000101845551496414
"129",183,9,"face savouring delicious food","U+1F60B","\xF0\x9F\x98\x8B",9,"<ed><a0><bd><ed><b8><8b>",0.1,0.000101295035001839
"130",183,231,"warning sign","U+26A0","\xE2\x9A\xA0",231,"<e2><9a><a0>",0.1,0.000101295035001839
"131",180,33,"face with open mouth and cold sweat","U+1F630","\xF0\x9F\x98\xB0",33,"<ed><a0><bd><ed><b8><b0>",0.1,9.96434855181131e-05
"132",177,535,"imp","U+1F47F","\xF0\x9F\x91\xBF",535,"<ed><a0><bd><ed><b1><bf>",0.1,9.79919360343875e-05
"133",177,555,"beating heart","U+1F493","\xF0\x9F\x92\x93",555,"<ed><a0><bd><ed><b2><93>",0.1,9.79919360343875e-05
"134",177,589,"money with wings","U+1F4B8","\xF0\x9F\x92\xB8",589,"<ed><a0><bd><ed><b2><b8>",0.1,9.79919360343875e-05
